ɂah,snowshoe
ahodı,be spoken; be heard
ahxe,wealthy; rich; competent; capable; complete
ahxedeè,very wealthy; very rich; very competent; very capable; very complete
ahxǫ,maybe; supposing; just in case
aı̀ɂǫ,be left behind (single object); remain (single object)
aı̀da,be left behind (animate object/carcass); remain (animate object/carcass)
aı̀hchı̀,be left behind (cloth object)
aı̨hda,"weigh, pound"
aı̨hda,weigh
aı̀htǫ,be left behind (containers)
aı̨hzǫ,be that big; be of a certain size
aı̨hzhǫ,be that big; be of a certain size
aı̀la,be left behind (plural objects); remain (plural objects)
aı̨̀łı̨,remain the same without change; be the same; be similar to
aı̀tǫ,be left behind (rigid objects)
ajà,became; got to be; happened; occurred
ɂetsı̨̀yı̨̀ą,pemmican ball; ball of pounded meat
ajı̀ı̀,caribou moss; lichen
ajı̨̀ı̨̀,caribou moss; lichen
ajı̨̀ı̨̀ degoo,white lichen
akǫǫ̀,"Expression said in a crowd, excuse me!; watch out!; make way!"
akǫǫ̀,there; that way
akwee hò,before; formerly; in the past
akwee whaà,long time ago
akwełǫ̀ǫ̀,first time; the very first time
Alı̀ Wemǫ Tı̨lıı̀,"street in Rae named after a long time resident of that area, Alex Chinkon's mother"
ałak'aà,each one of two
àma,mother
amà,mother
amèe,who?; whose?; which person?
amı̀ı,who?; whose?; which person?
amı̀ı anet'e?,who are you?
amı̀ıke,who (two or more people)
amba,my older sister
anadaade,becoming again; getting to be again
anade,come again; do again
anadle,be done again; become again
anagode,happen again; reoccuring
anahǫ̀t'e,adjournment
anat'ı̨̀,become again (repeatedly); get to be again
anats'ede,be again; go back
anats'edzà,be again; became again
anats'ejà,be again; became again
anats'ele,do again to; cause to do it again
anats'ele,do again; cause again; bring back again
anats'et'è,be finished
anats'ııle,let us do again
anawedle,let/ wish (something) be done to a person again
anèk'ah,gets stiff (stiffness)
kweyı̨̀ą,round rock
aodèe whı̀le,"be confused, not know what to do"
Asaht'e-le.,I'm fine.
asanı̀le,it's alright; ok; it doesn't matter
kwıı̀choyı̨̀ą,round bullet
ası̀a,small thing; small stuff
ası̀ı,things; something
ası̨̀ı̨̀,question marker of yes/no questions; whether: if
ası̀ı,thing; things; something; anything
ası̨̀ı̨,somewhere; anywhere
ası̀ı ch'àɂǫǫ dǫǫ̀,game warden
ası̀ı dehsee k'è,garden
ası̀ı dehshee k'è,garden
ası̀ı gha k'àowo,manager; boss
Ası̀ı hàahɂı̨-le.,I'm not doing anything.
Ası̀ı hàahłe-a ehwhǫ-le.,I don't want to do anything.
ası̀ı haàtłǫ zǫ,quota; only that amount
ası̀ı hazǫǫ̀,everything
ası̀ı hazhǫǫ̀,everything
ası̀ı k'èèzǫ-le laòt'ı̨,ignorant one; like an ignorant one
ası̀ı k'èèzhǫ-le laòt'ı̨,ignorant one; like an ignorant one
ası̀ı nàèhdlıı,handicraft
Ası̨̀ı̨̀ nàgotłah?,Is it slippery?
Ası̨̀ı̨̀ Sǫǫ̀mbak'è nǫ̀ǫdà?,Are you going to Yellowknife?
ası̀ı t'à daı̀tà,trip over something
ası̀ı t'à hoı̀la nàhòwoh,something bad happened; there was an accident
Ası̨̀ı̨̀ tsǫ̀kǫ̀ gǫ̀hłı̨?,Is there a bathroom?
ası̀ı ts'àɂǫǫ dǫǫ̀,game warden
ası̀ı ts'ehłaa kǫ̀a,storage room; closet
ası̀ı ts'ǫ nıɂà-le,be careless
ası̨̀ı̨̀ wek'e goahde ha dahwhǫ,any comments
ası̀ı wets'ǫ̀ nàɂets'eehdı̀ı dǫǫ̀,cashier; sales person
ası̀ı wıızı̀ı,nothing; not a thing
Ası̀ı whek'òo ehts'è gha sàı̨dı.,Give me something cold to drink.
ası̀ı whek'òo weyı̀ı whelaa,refrigerator; freezer
Ası̨̀ı̨̀ whǫǫda gha?,Are you going to sit down?
ası̀ı xàts'eetaa nàowoò,scientific study; science
gahtsǫ̀ǫ̀yı̨̀ą,rabbit droppings
atà,dad; father
atı̨̀,sneeze
atı̨̀ agohɂı̨,sneeze
at'ı̨,be; become; get to be; go; do
at'ı̨ làanı̀,be likely; seem to be; appear to be
ats'ede,go; do
ats'edı,say; call
ats'edı,say
ats'edzà,became
ats'ehɂı̨,cause an event; affect others; do or cause something; make someone do something
ats'ehɂı̨,doing; acting on
ats'ehwhǫ,keep in position; keep in control
ats'èhwhǫ,keep in position; keep in control
ats'ejà,became
ats'ele,do; cause; affect; make; act on (someone/something)
ats'ele,do
ats'et'ı̨,be doing; be going
ats'et'ı̨̀,become repeatedly; be affected
ats'ııde,go; to become; let us go
ats'ııdı̀ı whı̀le,have nothing to say
ats'ııle,do; let us do something
ats'ııt'è,be; let us be
ats'ııt'ı̨̀,let us do
ats'ı̨ı̨wǫ,have in mind; think; wish; desire
ats'ıt'èe whı̀le,be bored; have nothing to do; not know what do do
gokeecho,ancestors; forbears
awedèe whı̀le,"be confused, not know what to do"
awèehsı̨,I refer to; I mean to talk about
awèts'edı,refer to; mean to talk about; identify
axǫdıı̀,on purpose; intentionally
ayı̨̀hwhǫ,be affected by; treat someone well or badly; keep someone/thing in a certain way
ayı̀ı,what
Ayı̀ı dàąhɂı̨ ?,What are you doing?
Ayı̀ı dàąle-a nęęwǫ ?,what do you want to do?
ayı̀ı dàtłǫ k'e sǫǫ̀mba hołè wenı̨htł'è,investment portfolio
ayı̀ı gha,why?
ayı̀ı ghǫ,why?; what for?
Ayı̀ı neɂà ?,What are you eating?
ayı̀ı t'à,how?; with what?; by what means?
ayı̀ı ts'ǫ̀ sǫǫ̀mba k'ehowıı,budget
ayı̀ı weɂǫ̀ǫ̀!,what could be better!
ayı̀ı wek'e nı̀dahoòt'ǫǫ sı̀ı wets'ǫ̀ wek'eyatıı,arraignment
ayı̀ıcho,what big thing; somebody important; a big shot
ayı̀ıha,why?
baàɂeh,parka
bààle,vest
gokeetso,ancestors; forbears
bààlea,vest
babà,dad; father; my father
babà,dad
babàcho,grandfather
babàtso,grandfather
be,sleep
be ayı̨̀là,be sleepy
bea,pocket knife
Bea Tı̀,Bea Lake
bebı̀,baby; little child; youngest child
bebı̀a,small baby; infant
bebı̀a chǫ whedaa,fetus
bebı̀a chǫwhedaa xàgeht'à,abortion
bebı̀a daèhteè,crib
bebı̀a dǫelı̨ı̨,child birth
bebı̀a eyètł'ıı̀ k'è dehshee,ectopic pregnancy
bebı̀a gògwoh,baby rattle
bebı̀a gǫ̀hłı̨ k'è t'ası̀ı gı̀hchıı,pap smear
bebı̀a gǫ̀hłı̨ ts'à ts'èko yı̀ı wheɂǫǫ,diaphragm
bebı̀a gǫ̀hłı̨ı̨ k'è gòo dehshee,cancer of the reproductive organs
bebı̀a gots'ǫ,be pregnant; have a baby
bebı̀a gha nàgoet'àa,caesarean section
bebı̀a hołèe k'è,reproduction system
bebı̀a k'è eyats'ı̨ılı̨ı̨,labour pains
bebı̀a k'èdı̀ı,baby sitter
bebı̀a k'eè eyats'ı̨lı̨,be in labour
bebı̀a k'etłoa,toddler
bebı̀a kwǫą,diaper
bebı̀a kwǫǫ̀,diaper
bebı̀a kw'aà,diaper (old word)
bebı̀a łè,baby powder
bebı̀a nı̀htè,give birth
bebı̀a webòkw'ı̀atł'ıı̀,umbilical cord
bebı̀a xàtła k'è,cervix
bebı̀a yeyı̀ı whedaa,uterus; womb
bebı̀aghòò,baby teeth
bebı̀akè,baby shoes; baby moccasins
"Bebı̀a, amèe wetà hǫt'e ne?",Who is the baby's father?
begoèhxı̨,be sleepy
begoòxı̨,be sleepy
beh,knife
beh,sleep
behchà,riverbank; bluff along the river
behchı̨ı̨̀,sled; vehicle; truck
behchı̨ı̨̀ etǫ,dogteam trail
behk'ı̨ı̨̀,steep bank; cliff
behchı̨ı̨̀ k'èdı̀ı enı̨htł'è,driver's license
behchı̨ı̨̀ ezeè ats'ehɂı̨,toot the horn of a vehicle; honk the horn of a vehicle
behchı̨ı̨̀ k'èdı̀ı dǫǫ̀,driver
behchı̨ı̨̀ k'enaɂets'ehtse,wash a vehicle
behchı̨ı̨̀ k'èts'edı̀,drive a vehicle
hok'èts'ǫ,less
yahnǫ̀ǫ,way across; far across
behchı̨ı̨̀ nı̨htł'è,driver's license
behchı̨ı̨̀ tı̨lıı̀,dogteam trail
behchı̨ı̨̀wò,sled covering
behchı̨kè,car tire; wagon wheel; chariot wheel
behchı̨kwı̀,front of sled
behcho,big knife
Behcho Dǫǫ̀,American
Behcho Madlę̀ Tı̨lıı̀,"street in Rae named after a long time resident of that area, Madeline Zoe, noted for her midwifery"
Behchokǫ̀,Rae
wetsè nedèe,cougar
-kw'òa,many small things
Behchotı̀,Shoti Lake
behch'ats'eewı,have insomnia; be sleepless
behkà,spear; sword; spearhead
behk'àà,knife blade
behk'azèa,small knife using in muskrat skin preparation
behk'ıı̀,steep bank; cliff
behk'ò,seagull
behtsà,riverbank; bluff along the river
behtsı̨ı̨̀,sled; vehicle; truck
behtsı̨ı̨̀ etǫ,dogteam trail
behtsı̨ı̨̀ eze ats'ehɂı̨,toot the horn of a car
behtsı̨ı̨̀ k'èdı̀ı dǫǫ̀,driver
behtsı̨ı̨̀ k'enaɂets'ehtse,wash a vehicle
behtsı̨ı̨̀ k'èts'edı̀,drive a vehicle
behtsı̨ı̨̀ nı̨htł'è,driver's license
behtsı̨ı̨̀ tı̨lıı̀,dogteam trail
behtsı̨ı̨̀ tł'ıı̀,toboggan rope
behtsı̨ı̨̀wò,sled covering
behtsı̨kwı̀,front of sled
behtso,big knife
Behtso Dǫǫ̀,American
Behtsokǫ̀,Rae
Behtsotı̀,Shoti Lake
behts'ats'eewı,have insomnia; be sleepless
behwhò,knife sheath
belexàa,scissors
bełexàa,scissors
bı̨ı̨̀,beans
bıı̀dlıı̀,cliff
Bıı̀koòkwekàa,place named after rock in the Whatì area
Bınǫ̀ Tı̨lıı̀,"street in Rae named after the famous Dogrib Chief, Jimmy Bruneau"
bò,meat
"bò deelı̨ı̨̀, bòreelı̨ı̨̀",fresh meat
bò ghats'eewı̨,be hungry
bò ı̨ht'e,raw meat
bò kàɂaa,meats; variety of meat
bò k'èts'edı̀,store meat; store food
bò ło k'e ats'ehɂı̨,smoke meat
bò nàedee ts'ǫ,digestive
bò nàts'eedee,digest
bò tàts'eet'à,cut meat
bò ts'ehgǫ,dry meat
bò ts'ǫ wet'à hotıı̀ ts'eedaa,nutrition
bò wats'eewı,be hungry
bò wats'eewı̨,be hungry
bò wedeèdlı̨-le,junk food
bò weelı̨ı̨̀,fresh meat
bò whet'ee,cooked meat
bò xàts'eeht'è,cook food
bòa,pencil eraser
bògǫǫ̀,dry meat
bòkàets'eht'è,cook
bolıı,tag game
bòoghoò,fork for eating with
bòoghoò,fork
"bòrelı̨ı̨̀, bò welı̨ı̨̀",fresh meat
bòt'è,cooked meat
Bòts'ı Tı̀,Stomach Lake
bòwhıht'eè,foam from boiling meat (to be eaten)
bòxàeht'èe,cook; jack (in cards)
bòxàeht'èe dǫǫ̀,cook
bòxàeht'èe kǫ̀,kitchen
bòxàets'eht'è,cook
bus t'à k'ets'edè,travel by bus (plural)
chà,shaded; sheltered
chaèhdlı̨ı̨,eddy
charèhdlı̨ı̨,eddy
ahxe whı̀le,hopeless; without hope
cheè,cheque
chèe,lynx (old word)
cheeko,young man; unborn child; fetus
cheekotı̀,amniotic fluid; fluid at birth
cheekotı̀ wenı̀dlà,break water (in child birth)
Chekaa ghàehtǫǫ wehɂı̨̀ ha dehwhǫ.,I want to see the teacher.
Chekaghàehtǫǫ Cheka Gı̀ot'ı̨ xè Ełegeèhdı̀ı,T.P.A.
chekaghàehtǫǫ dǫǫ̀,school teacher
cheko,young man; unborn child; fetus
cheko geèhkw'ee,youth committee; youth group
cheko ghàehtǫǫ dǫǫ̀,teacher
cheko ghàehtǫǫ k'àowo,principal at school
cheko ghàehtǫǫ ts'àdı̀ı,teacher's assistant
cheko ghàehtǫǫ ts'àdıı dǫǫ̀,teacher's assistant
cheko ghàehtǫǫ wexèlats'ıı̀dıı,teacher assault
cheko ghǫ nàyaetıı k'e geèhkw'ee,youth justice committee
cheko nageete kǫ̀,hostel
cheko ǫhdaà,adult; middle-aged person
cheko xè eghàladaa dǫǫ̀,youth worker
cheko yeyı̀ı whedaa xàgeht'à,hysterectomy
chekoa,child; children
chekoa dànı̀ edek'èdı̀ı wenı̨htł'è,pre-disposition reports (PDR's)
chekoa dats'ı̨̀ı̨hɂaa,child abuse
chekoa geehshee,adopted child
chekoa goǫ̀tè,adopt a child; be given a child
chekoa gotł'aà k'ètaı̀dzǫǫ,godchild
chekoa gha nı̨htł'è hołèe,child welfare
chekoa kǫ̀ta dǫ gà nàgeetee,homeboarding
chekoa k'è eyats'ı̨ı̨lı̨ı̨ / bebı̀a nanıegwoo,contraction
chekoa k'èdı̀,babysit
chekoa k'èhodı̀ıkǫ̀ gha k'àowo,residential manager
ahxe-le,not sure
chekoa kwǫą,diaper
chekoa kwǫǫ̀,diaper
chekoa nàts'ehte,adopt a child
chekoa ǫhdaà,teenage boy; older child; older kids
chekoa sǫǫ̀mbaà,family allowance
chekoa tàda / gık'e dek'oa nı̀ı̀tł'ı̀ı,varicella (chickenpox)
Chekoa Wedaàtǫǫ Nàowoò,Young Offender's Act
chekoa yet'à nàgozhee,toy
chekolèa,baby powder (old word)
chekotı̀,aminotic fluid
chekotı̀ k'ahotaa,aminocentesis
chekowea nı̀ts'ehtèe,stillbirth
chekozhı̨̀ı̨̀ / chekoa goht'ǫǫ̀,placenta
gogǫ̀ǫhdzeè,elbow
chı̨,too; also
chı,too; also
chıa,duckling
chı̨ą,bird
chı̨ą dèhtł'èe,mountain bluebird
goehgòdzaà,thigh
chı̨ą dekwoo,yellow warbler
chı̨ą łą̀ą k'edèe,a flock of birds
chı̨ą nǫedee,migration of birds to the North
chı̨ą weèhdà,bird beak
ts'adè,going (plural); walking (plural)
chı̨ąhkwoa,yellow warbler
chı̨ąt'oh,bird's nest
chı̨ąwò,condom
chı̨ąyè,bird egg
chı̨ązaa,chick; young bird
chı̨ązhaa,chick; young bird
chıehts'ı,snow flurries; blowing snow
"chı̀ga, tsı̀ga",sugar
Chıghàhchı,Arctic Red River
chıh,mallard
chıhcho,green-winged mallard
chı̨hkǫǫ̀ wheda,live alone; live as a single person
chı̨hk'è-k'àbatsǫ̀ǫ̀,northeast direction
chı̨hkwı̨,woodpecker
chıhkwǫ̀,duck meat
chı̨hkw'à,wooden plate
chı̨hkw'à ts'ehtsı̨,cry; make crying sounds
chı̨htèa,apron
chıhtǫ,large kettle with curved spout; tea kettle
chı̨k'è,north
chı̨k'è nı̨hts'ıı̀,north wind
chı̨k'edàà,northwest; NWT
chı̨k'eè,north
chı̨ts'eehchıh,knead
chǫ,womb
chǫ,rain
chǫ at'ı̨,it is raining
chǫgwı̀a,drizzle
choh,feathers; down feathers
chǫh,rain
chǫhɂeè,raincoat
chǫhk'oò,rain clouds
chǫhtı̀,rain water
chohts'ò,down-filled blanket
chǫkw'àà,dampness of rain
chǫwehtè,I'm going to have a lie-down
ch'à,preventing something from happening; against
ch'àɂats'edı,whine; make a fuss
ch'àts'eeghe,threaten; scare
ch'àts'ı̨ı̨wǫ,hold a grudge; give the silent treatment
ch'oh,quill; porcupine
ch'oxoedı,be jealous
daà,in front of (people)
dą̀ą̀,west
dàà,against
dą̀ą,west
dą̀ą nı̨hts'ıı̀,west wind
daaɂa,shine (sun)
dàade,how does it turn out?; what happens?; what does he/she do?
dàaghà / dàgoghà,who knows?
daàla / dawhela,be located high
daàłè,becoming; getting to be
dàanaà,of course; obviously; certainly
dàanı̀,how?
dàanı̀ ghǫ,why?; for what reason?
dàanı̀ wègaàt'ı̨,how does it look?; what is its shape?
daatı̨,beginning to freeze
Dàąt'e ?,How are you?
gogǫ̀ǫgee,"back, between the shoulder blades"
daàts'eedaa,mirror
daàts'eèhzaa,glasses
daàts'eèhzhaa,glasses
daàts'eèzaa,glasses
daàts'ele,move ahead; extend the date
dàats'ele,do what?; what does (someone) do?
daats'ǫ̀,more than; over; after a certain time
daàts'ǫ̀,length
daà-tanı,be more and a half
dachı̨ts'eehwhe,cut off (a protruding piece); trim off
dàdanı̨ı̨hwha,how high?
dàdeèzhı̨̀ı̨,how wonderful; how well; what a good …
dadèhdlı̀,he hangs himself
dàdı,what does he/she say?
dadıı̀tso,he raised his hands; he reached up
dàdzà,what happened to him/her/it?
daeɂò,be suspended on water
daeɂòo,canned fruit
daebe,float (person or animal)
daècha,open out in shape; flare out
daèda,weigh oneself
daedı,be suspended in the air
daedlı̀,be hanging from a rope
daegè,get loose (single object)
daèhchı̨,chair; seat
daèhchı̨ k'e whedaa,chairperson
daèhchı̨ą,stool
daèhchı̨cho,throne
daehk'ò,puddle
daèhte,bed
daèhtewò,mattress; bed-spread; bed linens; sheet
daèhtsı̨,chair; seat
daèhtsı̨ k'e,on a chair
daèhtsı̨ k'e whedaa,chairperson
daèhtsı̨ą,stool
dàehxeè,how quickly; so soon; so early
daèkw'ıh,fall (one person); stumble (one person)
daele,float
daetı̨,start freezing
daetı̨,he holds up (rigid object)
daètǫkǫ̀,temporary shelter of trees; lean-to
daetła,climb up on (one person)
daètsa,open out in shape; flare out
daetsı̨̀,be about to poop
daèzah,be blocked; be dammed
daèzhah,be blocked; be dammed
dagòɂǫǫ,shelf; high place
dàgode,what happens?
dàgodı,what is the sound?; what is said?
dagòèɂàa,(boat) landing
dàgoèɂǫ,be full
dàgoètłǫ,how often?
dàgǫ̀ht'e,how are things?; how is the weather/the situation?
dàgoı̨hwhaà,how high?
dagoı̨wà,be high
dagoı̨wà-lea,be low
dàgòjà / dàgòdzà,what happened? what took place?
dàgòjàa k'e xàyats'ehtıı,testimony
dàgoòɂǫ,be full
dàgǫǫhwha,how far?
dagǫǫwà / dagoı̨wà,be high up
dàgǫǫwąą̀,how far?
dàgot'ı̨,what is happening?
dàgot'ı̨ı̨̀ agot'ı̨,what is happening? why is it happening?
aaye,rolling along
dagots'ehwho,dance (plural)
dagowo,dance
dagowo gha k'àowo,dance leader
dagowo kǫ̀,community hall; dance hall
dagowo zı̨ı̨̀,dance song
dagowo zhı̨ı̨̀,dance song
dahɂaà nıı̀zhı̀ı ( ıce fog hangıng ın the aır) EM,ice fog
dahɂah,fishhook (smaller)
dahɂàh,ice fog
dahɂah k'eè ts'eda,jig (for fish)
dahɂah tǫǫ̀,tackle box
dahɂah xàts'eechı,remove a hook
dahɂahchı̨ı̨̀,fishing rod
dahɂahtsı̨ı̨̀,fishing rod
dahba,wild rose
dahbo,swing
dahchı̀atǫ̀,bounced off
dahchı̨ątǫ̀,be broken off (small piece like handle of a teapot)
dahdègooɂò,be boggy; be swampy; floating land
dahdı̨̀ą,sandpiper
dahdlı̀,be hanging
dahdzını̨ı̨wo,be startled
dahdzıts'ı̨ı̨dè,be startled (plural); be shocked (plural)
dahgaà,ring-necked duck
hotets'eetsı,take (a boat) over a portage; portage (a boat)
dahghaà,black hairy lichen on trees
dahghoò,gooseberry
dahghoòchı̨ı̨̀,gooseberry bush
dahghoòtsı̨ı̨̀,gooseberry bush
dahkàà,raspberry
dahkǫ̀,attic; second floor of a building
dahkwı̀et'a,nod the head up and down
dahkw'ıekwı,point
dahkw'ıı̀,black hairy lichen on trees
dahlı,floats for fish nets
dàhłàà,how many times?
dahmǫ̀,roof
dahmǫ̀kwı̀t'aa,shingles; roofing materials
dahmǫ̀t'aà,shingles; roof lining; roof insulation
dahmǫ̀t'àa,ceiling
dàhodı,what is being said
dahoehnè,persuade; win over with words
dıkǫts'eèdlı̨,be unthinking; our mind is not engaged; be not thinking right
dàhòt'ı̨,what kind?; what color?; what brand?
dàhòtł'ò,how hard; extremely
dahoyeèhdzà,try to persuade; try to win over
dàhsǫǫ̀,coincidentally; fortunately; by chance
Dahtè.,Go to sleep. (talking to two or more people)
dahtı̀,dripping water; dew
dahtıètł'ıı,flood
dahtò,ice is packed up
dàht'e,when?
Dàht'e nı̨dè ąde ha?,When are you going?
daht'oh,scaffold cache; stage cache
daht'ǫǫ̀,plastic
dahtła,it landed (bird or plane)
dahtł'ı̨ı̨̀,highbush cranberry
dahxà,authority
dahzàa,snow patch on branches
dahzo,frost on trees
dahzòò,hooked stick for fish net
dahzhàa,snow patch on branches
daı̨ɂah,suffer
daı̀chı,"be reaching up, to put something on a high place"
dàı̨hcho,how big?; what size?
dàı̨hcho-so,very big; oh how big; so very big
dàı̨hdo,how long physically?
dàı̨htǫ,how thick?
daı̨̀htł'ı,spill
dàı̨htso,how big?; what size?
dàı̨hwhaà,how far?
dàı̨hwhaà / dàhwhaà,be how long in time
dàı̨hzǫ,what size?; how big?
dàı̨hzhǫ,what size?; how big?
daı̀la,he sang out
daı̀tła,start to dance (one person)
daı̀tso,holding hand up; raising hand
dàı̨wa,be how far
dàı̀yeh,what is it called?; what is his/her/its name?
dàjà,what happened to him/her/it?
daka,top of a hill
dakàgeɂa,climb to the top (two people)
dakàgedè,climb to the top (plural)
dakàtła,climb to the top (one person)
dakwe,first
dakwe k'aɂı̨̀ı̨̀,secondary
dakwee kò,before; formerly; in the past
dakwełǫ̀ǫ̀,first; in the beginning
dakwełǫ̀ǫ̀ ts'èko ts'ı̨ı̨lı̨ı̨,menarche; first menstruation; first period
dakwełǫ̀ǫ̀ wek'e xàyatıı,introduction
dakwełǫ̀ǫ̀ wheɂǫǫ,priority; first place
dakwet'à,first
dàkwı̀tǫ / dàotǫ,wooden octagonal or circular frame around the stove
dakwoogodaazhı̀,have a short body and long legs
dakw'ıekwı,point
dalà / wedalà,edge
dałazeh,swarming up; gathering together
dałets'eeke,ask one another
dałets'èhɂa ha-le,zero tolerance
dałıı̀zah,start to swarm up; start to gather together
danàgot'ǫ,stage cache
dànàhòwo,what happened; what took place; the incident
danaıdı̀,hurriedly; in a rush
danaıdı̀-le,carefully
dànàı̨htso,be how strong
danatıts'eɂà,send a message
danats'eèɂı̨,wait for
dànı̀,how; how is he/it?
dànı̀ łets'ǫ̀ nats'eɂaa,attitude toward each other; relationship (working)
dànı̀ sıı̀ɂı̨ı̨,treatment
dànı̀ weghàlada,practically
dànı̀ghǫ,why
dànı̨hcho,how big?; what size?
dànı̨hdo,how long physically?
dànı̨htǫ,how thick?
dànı̨hwhaà,how far?
dànı̨hzhǫ,what size?; how big?
danı̨ı̨chà,be high
danı̨ı̨chà-le,be short in height
danı̨ı̨dè,be tall
dànı̀ı̨htı̀,How much does it cost? How expensive is it?
dànı̀ı̨kòò,how thick?/how wide?
